Nome,Tipo,Vida,Vida Ins,Vida Reg PV/s,Dano,Dano Crit,Chance Crit,Resis Crit,Vigor,Vigor Reg,Def,Velocidade Movi,Sociedade,Limite Sociedade,Moral,Carga,Exp Corporal,Reduz Veneno RV/s,Resist Frio,Resist Veneno,Resist Fogo,Reduz Radiação RR/s,Resist Radiação,Recuperação Aprimorada,Folego
Milho Assado,Alimento básico,,,,,,,,,,5.0,,60.0,10.0,,,,,,,,,,,
Tortilha,Alimento básico,,,,,,,,,,10.0,,80.0,20.0,,,,,,,,,,10s,
Taco Frito,Alimento básico,,,,,,,,,,20.0,,100.0,40.0,,,,,,,,,,,
Ovo Cozido,Alimento básico,,100.0,,,,,,,,,,50.0,,,,,,,,,,,,
Batata Cozida,Alimento básico,,,,,,,,,,,,80.0,20.0,,40.0,,,,,,,,,
Guioza,Alimento básico,,,,,,,,,,,,100.0,30.0,,50.0,,,,,,,,,
Pão de Batata Drita,Alimento básico,,,,,,,,,,,,100.0,40.0,,80.0,,,,,,,,,
Arroz de Quinoa com Frutos do Mar,Alimento básico,,,,,0.1,,,,,,,100.0,40.0,,,2.0,,,,,,,,
Batata Assada,Alimento básico,,,,,,,,,,,,60.0,20.0,,20.0,,,,,,,,,
Mingau de Quinoa,Alimento básico,,,,,0.05,,,,,,,80.0,20.0,,,1.0,,,,,,,,
Suco,Bebida,,,,,,,,,,,,20.0,,,,,,,10.0,,,,,
Cacau,Bebida,,,,,,,,,,,,20.0,,,,,,10,,,,,,
Cacau Gelado,Bebida,,,,,,,,,,,,20.0,,,,,,,,10.0,,,,
Erva-Mate,Bebida,,,,,,,,,,,,20.0,,,,,,,20.0,,5,,,
Carne cozida,Carne,50.0,,0.5,,,,,,,,,20.0,,,,,,,,,,,,
Peixe,Carne,50.0,,1.0,,,,,,,,,30.0,,,,,,,,,,,,
Carne Cozida Premium,Carne,100.0,,2.0,,,,,,,,,40.0,,,,,,,,,,,,
Carne Cozida Rara,Carne,150.0,,4.0,,,,,,,,,80.0,,,,,,,,,,,,
Bife Grelhado Premium,Carne,100.0,,6.0,,,,,,,,,100.0,,,,,,,,,,,,
Refeição de Peru,Carne,200.0,,8.0,,,,,,,,,200.0,,,,,,,,,,,,
Bife Raro Frito,Carne,200.0,,10.0,,,,,,,,,100.0,,,,,,,,,,,10s,
Carne Seca Premium,Carne,100.0,,,5.0,,,,,,,,100.0,,,,,,,,,,,10s,
Caldo,Carne,100.0,,,,,,,,,,,40.0,,,,,,,,,,,,
Sopa de Peixe,Carne,100.0,,,,,,,,,,,40.0,,,,,,,,,,,,
Gafanhoto ao Molho de Pimenta,Carne,100.0,,,,,,,,,,,40.0,,,,,,,,,,,,
Carne ao Molho,Carne,150.0,,,,,,,,,,,80.0,,,,,,,,,,,,
Presunto Defumado,Carne,200.0,,,10.0,,,,,,,,100.0,,,,,,,,,,,10s,
Sopa Picante,Carne,200.0,,,,,,,,,,,100.0,,,,,,,,,,,,
Ensopado de Peixe,Carne,200.0,,,,,,,,,,,40.0,,,,,,,,,,,,
Sopa de Cogumelo,Frutas e Vegetais,,,,,,,,10.0,,,,20.0,,,,,0.02,,,,,,,1.0
Espetinho de Frutas,Frutas e Vegetais,,,,,,,,10.0,,,0.05,40.0,,,,,,,,,0.02,,10s,
Salada De Abóbora,Frutas e Vegetais,,,,,,,,10.0,0.5,,,60.0,,,,,,,,,,,,
Panela Psicodélica,Frutas e Vegetais,,,,,,,,20.0,,,,40.0,,,,,0.05,,,,,,,
Anéis de Abóbora Frita,Frutas e Vegetais,,,,,,,,20.0,1.0,,,80.0,,,,,,,,,,,,
Geleia Mista,Frutas e Vegetais,,,,,,,,20.0,,,0.1,60.0,,,,,,,,,0.05,,10s,
Abóbora Assada,Frutas e Vegetais,,,,,,,,5.0,0.25,,,40.0,,,,,,,,,,,,
Cogumelos Assados,Frutas e Vegetais,,,,,,,,5.0,,,,10.0,,,,,0.01,,,,,,,
Charuto,Outros,,,,,,,0.1,,,,,,,"0,25p/s",,,,,,,,,,
Esimulante,Outros,,,,,,,,,,,0.1,,,"0,5p/s",,,,,,,,,,
Antídoto,Outros,,,,,,,,,,,,,,,,,,,50.0,,,,,
Abóbora,Outros,,10.0,,,,,,,,,,10.0,,,,,,,,,,,,
Milho,Outros,,10.0,,,,,,,,,,20.0,,,,,,,,,,,,
Abacaxi,Outros,,20.0,,,,,,,,,,10.0,,,,,,,,,2inst,,,
Pimenta,Outros,,,,,,,,,,,,,,,,,,2Acu3,,,,,,
Banana,Outros,,10.0,,,,,,5.0,,,,5.0,,,,,,,,,2inst,,,
Amendoim,Outros,,4.0,,,,,,,,,,2.0,,,,,,,,,,,,
Caju,Outros,,5.0,,,,,,,,,,5.0,,,,,,,,,,,,
Mamão,Outros,,15.0,,,,,,,,,,10.0,,,,,,,,,1inst,,,
Mel,Outros,,,,,,,,,,,,10.0,,,,,,,,,5inst,,,
Vinho de Frutas,Predileção,,,,0.03,,,,,,,,20.0,,30,,,,,,,,,,
Hidromel,Predileção,,,,0.06,,,,,,,,20.0,,,,,,,,,,,,
Mezcal,Predileção,,,,,,0.03,,,,,,20.0,,,,,,,,,,,,
Tequila,Predileção,,,,,,0.06,,,,,,20.0,,,,,,,,,,,,
Mingau de Aveia,Alimento básico,,,,,0.05,,,,,,,80.0,20.0,,,1.0,,,,,,,,
Purê de Chufa,Alimento básico,,,,,,,,,,,,80.0,20.0,,40.0,,,,,,,,,
Xarope de Tâmara,Outros,,5.0,,,,,,,,,,10.0,,,,,,,,,,,,
Panqueca,Alimento básico,,,,,,,,,,10.0,,80.0,20.0,,,,,,,,,,,
Cerveja,Predileção,,,,0.03,,,,,,,,20.0,,,,,,,,,,,,
Bolo de Chufa,Alimento básico,,,,,,,,,,,,100.0,40.0,,80.0,,,,,,,,,
Corone,Alimento básico,,,,,,,,,,20.0,,100.0,40.0,,,,,,,,,,,
Mingau de Peixe e Aveia,Alimento básico,,,,,0.1,,,,,,,100.0,40.0,,,2.0,,,,,,,,
Anéis de Cebola,Frutas e Vegetais,,,,,,,,20.0,1.0,,,80.0,,,,,,,,,,,,
Néctar da Lótus Azul,Bebida,,,,,,,,,,,,20.0,,,,,,,20.0,,5,,,
Água com Hortelã,Bebida,,,,,,,,,,,,20.0,,,,,,,,10.0,,,,
Uva,Outros,,20.0,,,,,,,,,,10.0,,,,,,,,,1inst,,,
Chufa Assada,Alimento básico,,,,,,,,,,,,60.0,10.0,,20.0,,,,,,,,,
Tâmara,Outros,,15.0,,,,,,,,,,10.0,,,,,,,,,1inst,,,
Incenso,Outros,,,,,,,0.1,,,,,,,"0,25p/s",,,,,,,,,,
