Portugues,Ingles,CONFORTO,ACUMULO,Unnamed: 4,PT BR,Unnamed: 6,Unnamed: 7
Alpaca de Ouro,Golden Alpaca,250,2,,NIVEL,CONFORTO,EFEITO
Alvo de Arco e Flecha,Archery Target,100,1,,1,0-500,'+5PESO / 20%XP
Aquecedor de Ar,Air Heater,100,2,,2,501-1500,'+10PESO / 40%XP
Arranjo de Comida - Alimento Básico,Decorative Food - Grains,50,4,,3,1501-3000,'+15PESO / 60%XP
Arranjo de Comida - Bebida,Decorative Food - Beverages,50,4,,4,3001-5000,'+20PESO / 80%XP
Arranjo de Comida - Carne,Decorative Food - Meat,50,4,,5,5001-7500,'+25PESO / 100%XP
Arranjo de Comida - Frutas e Vegetais,Decorative food - Fruits & Vegetables,50,4,,6,7501-11000,'+30PESO / 120%XP
Arranjo de Comida - Guioza,Decorative Food - Dumplings,50,4,,7,11001-15000,'+35PESO / 140%XP
Arranjo de Comida - Peru,Decorative Food - Turkey,50,4,,8,15001-20000,'+40PESO / 160%XP
Árvore de Bronze,Sacred Bronze Tree,300,1,,9,20001-27000,'+45PESO / 180%XP
Árvore Festiva,Decorative Tree,250,2,,10,27001-99999,'+50PESO / 200%XP
Banheira,Bathtub,400,1,,,,
Banqueta,Stool,30,3,,EM,,
Boneco de Treinamento,Training Dummy,50,4,,Level,Comfort,Effect
Braseiro Pendurado,Hanging Firebowl,50,4,,1,0-500,+5WEIGHT / 20%XP
Braseiro Vertical,Standing Firebowl,40,5,,2,501-1500,+10WEIGHT / 40%XP
Cadeira de Dois Lugares,Double Chair,50,1,,3,1501-3000,+15WEIGHT / 60%XP
Cadeira do Chefe,Chief's Chair,500,1,,4,3001-5000,+20WEIGHT / 80%XP
Cama,Bed,30,5,,5,5001-7500,+25WEIGHT / 100%XP
Cama de Casal,Double Bed,50,1,,6,7501-11000,+30WEIGHT / 120%XP
Cama de Casal Luxuosa,Luxurious Double Bed,100,3,,7,11001-15000,+35WEIGHT / 140%XP
Cabeça de Bisão,Bison Specimen,200,1,,8,15001-20000,+40WEIGHT / 160%XP
Cabeça de Grifo Tempestuoso da Destruição,Tempest Griffin of Doom Head,1600,1,,9,20001-27000,+45WEIGHT / 180%XP
Cabeça de Grifo Tempestuoso de Sombra Celestial,Sky-shading Tempest Griffin Head,1200,1,,10,27001-99999,+50WEIGHT / 200%XP
Cabeça de Grifo Tempestuoso Berserker,Berserk Tempest Griffin Head,1400,1,,,,
Cabeça de Jacaré,Alligator Specimen,200,1,,,,
Cabeça de Javali,Boar Specimen,100,1,,,,
Cabeça de Lagarto Monitor,Monitor Lizard Specimen,250,1,,,,
Cabeça de Leão Selvagem,Wild Lion Specimen,250,1,,,,
Cabeça de Leopardo-das-neves,Snow Leopard Specimen,250,1,,,,
Cabeça de Lobo Ártico,Arctic Wolf Specimen,250,1,,,,
Cabeça de Lobo-cinzento,Grey Wolf Specimen,150,1,,,,
Cabeça de Lobo da Estepe,Wasteland Wolf Specimen,200,1,,,,
Cabeça de Primata Todo-Poderoso,Almighty Vajra Ape Head,1100,1,,,,
Cabeça de Primata Poderoso da Destruição,Vajra Ape of Doom Head,1500,1,,,,
Cabeça de Primata Poderoso Berserker,Berserk Vajra Ape Head,1300,1,,,,
Cabeça de Leopardo-da-selva,Jaguar Specimen,200,1,,,,
Cabeça de Fera Dente-de-sabre Feroz,Fierce Saber-toothed Predator Head,900,1,,,,
Cabeça de Fera Dente-de-sabre Berserker,Berserk Saber-toothed Predator Head,1200,1,,,,
Cabeça de Sapo da Névoa da Destruição,Fogfrog of Doom Head,1400,1,,,,
Cabeça de Sapo da Névoa Berserker,Berserk Fogfrog Head,1200,1,,,,
Cabeça de Sapo da Névoa de Veneno Forte,Poison Fogfrog Head,1000,1,,,,
Cabeça de Urso,Bear Specimen,250,1,,,,
Cabeça de Urso Pardo,Brown Bear Specimen,250,1,,,,
Cabeça de Abutre,Vulture Specimen,250,1,,,,
Estátua de Ouro do Grifo Tempestuoso,Golden Tempest Griffin Statue,2000,1,,,,
Estátua de Ouro do Mamute,Golden Mammoth Statue,2000,1,,,,
Estátua do Grifo Tempestuoso,Tempest Griffin Statue,1500,1,,,,
Estátua Guardiã da Masmorra,Dungeon Guard Statue,500,1,,,,
Estátua Guardiã de Prata,Silver Guard Statue,400,1,,,,
Estátua Guardiã de Ouro,Golden Guard Statue,500,1,,,,
Estátua do Primata Podereso,Vajra Ape Statue,1500,1,,,,
Estátua de Ouro do Primata Podereso,Golden Vajra Ape Statue,2000,1,,,,
Estátua do Mamute,Mammoth Statue,1500,1,,,,
Estátua da Fera Dente-de-sabre,Saber-toothed Predator Statue,1500,1,,,,
Estátua de Ouro da Fera Dente-de-sabre,Golden Saber-toothed Predator Statue,2000,1,,,,
Estátua do Sapo da Névoa,Fogfrog Statue,1500,1,,,,
Estátua de Ouro do Sapo da Névoa,Golden Fogfrog Statue,2000,1,,,,
Fogueira,Fire Pit,400,1,,,,
Fogueira de Acampamento Protegida,Rainproof Campfire,100,1,,,,
Fogueira com Base de Aço,Steel Pit Bonfire,550,1,,,,
Fogueira com Base de Aço Fino,Fine Steel Pit Bonfire,600,1,,,,
Fogueira com Base de Bronze,Bronze Pit Bonfire,450,1,,,,
Fogueira com Base de Ferro,Iron Pit Bonfire,500,1,,,,
Fogueira DLC,Fire Pit DLC,50,1,,,,
Homem de Bronze,Mysterious Bronze Man,200,2,,,,
