NIVEL,CONFORTO,EFEITO pt,EFEITO en
1,0-500,'+5PESO / 20%XP,+5WEIGHT / 20%XP
2,501-1500,'+10PESO / 40%XP,+10WEIGHT / 40%XP
3,1501-3000,'+15PESO / 60%XP,+15WEIGHT / 60%XP
4,3001-5000,'+20PESO / 80%XP,+20WEIGHT / 80%XP
5,5001-7500,'+25PESO / 100%XP,+25WEIGHT / 100%XP
6,7501-11000,'+30PESO / 120%XP,+30WEIGHT / 120%XP
7,11001-15000,'+35PESO / 140%XP,+35WEIGHT / 140%XP
8,15001-20000,'+40PESO / 160%XP,+40WEIGHT / 160%XP
9,20001-27000,'+45PESO / 180%XP,+45WEIGHT / 180%XP
10,27001-99999,'+50PESO / 200%XP,+50WEIGHT / 200%XP
