Icon,Title,Description,Exclusive,Type
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_334.png,Rapid Absorption (Food),"A voracious eater with a fast metabolism, Satiety Consumption +[10,30,50]%.",,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_348.png,Poor in Melee Combat,"Weak in melee fight, reducing damage dealt to enemies within 5 meters by [5,10,15]%.",,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_352.png,Slow Shooting,"Mastered some poor shooting skills of bows. Charge time of bows +[30,50,80]%.",,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_319.png,Attack Weakening,"Can't even catch a pig with any success. ATK -[3,6,9]%.",,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_331.png,Poor Hearing,"Poor hearing. Not sensitive to sounds. Can only hear sounds [5,10,15] decibels louder than the average person.",,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_356.png,Flame of Friendship,"Ignite your body and soul with your friends! When you catch fire, spread the flames to nearby allies within [1,2,3]m.",,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_346.png,Soft Leather - Weak Blunt Strike,"Not very sturdy against blunt attacks. The DMG taken from blunt-type attacks increases by [15,20,25]%.",,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_354.png,Add Insult to Injury,"Anemia can be life-threatening. When HP falls below 30%, loses an additional [10,15,20]% HP within 10 seconds. (CD: 50s)",,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_317.png,Slow Pace,"Slow paced, Movement Speed -[5,10,15]%.",,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_323.png,Heavy Footsteps,"Takes heavy steps, increasing the volume footfall noise by [40,70,100]%.",,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_353.png,Slow Reload,"It's just so hard to learn. Crossbow Tower, and Ballista Reload Time +[20,35,50]%",,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_337.png,Single Blade DMG Reduction,"Using a single-handed blade produces less threat. Single-blade DMG -[10,15,20]%.",,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_338.png,Spear DMG Reduction,"Using a spear produces less threat. Spear DMG -[10,15,20]%.",,Normal
