Icon,Title EN,Title PT,Description EN,Description PT,Exclusive EN,Exclusive PT,Type EN,Type PT
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_317.png,Slow Pace,Passo Lento,"Slow paced, Movement Speed -[5,10,15]%.","Passos lentos, a Velocidade de Movimento é reduzida em -[5,10,15]%.",,Nenhum,Normal,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_319.png,Attack Weakening,Enfraquecimento de Ataque,"Can't even catch a pig with any success. ATK -[3,6,9]%.","Não consegue nem agarrar um porco. ATQ diminui em -[3,6,9]%.",,Nenhum,Normal,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_331.png,Poor Hearing,Audição Ruim,"Poor hearing. Not sensitive to sounds. Can only hear sounds [5,10,15] decibels louder than the average person.","Audição ruim. Não é sensível a sons. Só pode ouvir sons [5,10,15] decibéis mais altos do que a pessoa média.",,Nenhum,Normal,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_334.png,Rapid Absorption (Food),Absorção Rápida (Alimento),"A voracious eater with a fast metabolism, Satiety Consumption +[10,30,50]%.","Consumo de Alimentos aumentado em +[10,30,50]% devido a um alto metabolismo.",,Nenhum,Normal,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_346.png,Soft Leather - Weak Blunt Strike,Pele Amolecida - Vulnerabilidade à Concussão,"Not very sturdy against blunt attacks. The DMG taken from blunt-type attacks increases by [15,20,25]%.","Não é muito resistente contra ataques contundentes. O dano sofrido de ataques do tipo contundente aumenta em [15,20,25]%.",,Nenhum,Normal,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_348.png,Poor in Melee Combat,Inaptidão em Combate Corpo-a-Corpo,"Weak in melee fight, reducing damage dealt to enemies within 5 meters by [5,10,15]%.","Fraco em luta corpo a corpo, reduzindo o dano causado a inimigos a menos de 5 metros em [5,10,15]%.",,Nenhum,Normal,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_352.png,Slow Shooting,Tiros Lentos,"Mastered some poor shooting skills of bows. Charge time of bows +[30,50,80]%.","Dominou algumas habilidades ruins de tiro com arcos. O tempo de carregamento total dos arcos é estendido em +[30,50,80]%.",,Nenhum,Normal,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_354.png,Add Insult to Injury,Sal na Ferida,"Anemia can be life-threatening. When HP falls below 30%, loses an additional [10,15,20]% HP within 10 seconds. (CD: 50s)","A anemia pode ser fatal. Quando o PV cai abaixo de [10,15,20]%, perde 10% adicionais de PV em 10 segundos. (CD: 50s)",,Nenhum,Normal,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_356.png,Flame of Friendship,Chama da Amizade,"Ignite your body and soul with your friends! When you catch fire, spread the flames to nearby allies within [1,2,3]m.","Incendiar-se com seus amigos pode ser divertido. Quando o corpo está em chamas, o fogo é transmitido para aliados em um raio de [1,2,3] metro.",,Nenhum,Normal,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_318.png,Weak Attack,Ataque Fraco,"Launches a weak attack, Attack Speed -[5,10,15]%.","Lança um ataque fraco, reduzindo a Velocidade de Ataque em -[5,10,15]%.",,Nenhum,Normal,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_320.png,Weakened DEF,DEF Enfraquecida,"Dropped guard, reducing DEF by [3,6,9]%.","Guarda baixa, reduzindo a DEF em [3,6,9]%.",,Nenhum,Normal,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_321.png,Injury Worsening,Piora de Lesão,"Has a weak body that is more susceptible to injury, DMG taken +[3,6,9]%.","Tem um corpo fraco que é mais suscetível a lesões, aumentando o Dano sofrido em +[3,6,9]%.",,Nenhum,Normal,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_322.png,Poor Health,Saúde Precária,"Looks weaker than most people, Max HP -[3,6,9]%.","Parece mais fraco do que a maioria das pessoas, diminuindo o PV Máximo em -[3,6,9]%.",,Nenhum,Normal,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_323.png,Heavy Footsteps,Passos Pesados,"Takes heavy steps, increasing the volume footfall noise by [40,70,100]%.","Passos pesados, aumentando o ruído dos passos em [40,70,100]%.",,Nenhum,Normal,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_324.png,World-shaking,Agitação Mundial,"Able to detect the sounds of approaching objects before they are seen. The volume of all sounds is amplified by [40,70,100]%.","Consegue detectar os sons de objetos se aproximando antes de serem vistos. O volume de todos os sons é amplificado em [40,70,100]%.",,Nenhum,Normal,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_325.png,Suspicious Behavior,Comportamento Suspeito,"Acts in a high-profile manner, Vigilance +[20,40,60]% when spotted by enemies.","Age de maneira chamativa, aumentando a Vigilância do inimigo em +[20,40,60]% ao ser avistado.",,Nenhum,Normal,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_326.png,Slow-witted,Lerdeza,"When self-awareness dominates the body, the likelihood of the body taking self-protective reactions to danger is reduced by [10,15,20]%.","Quando a autoconsciência domina o corpo, a probabilidade de o corpo tomar reações autoprotetoras ao perigo é reduzida em [10,15,20]%.",,Nenhum,Normal,Normal
