Icon,Título,Descrição,Exclusivo,Tipo
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_334.png,Absorção rápida (alimentos),"Um comedor voraz com metabolismo acelerado, Consumo de Saciedade +[10,30,50]%.",Nenhum,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_348.png,Fraco em combate corpo a corpo,"Fraco em combate corpo a corpo, reduzindo o dano causado a inimigos em um raio de 5 metros em [5,10,15]%.",Nenhum,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_352.png,Tiro Lento,"Aprimorei algumas habilidades de tiro com arco, que eram ruins. Tempo de carregamento do arco +[30,50,80]%.",Nenhum,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_319.png,Ataque enfraquecido,"Nem sequer consigo pegar um porco com sucesso. ATQ -[3,6,9]%.",Nenhum,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_331.png,Dificuldade de audição,"Audição deficiente. Não sensível a sons. Só consegue ouvir sons [5,10,15] decibéis mais altos do que a pessoa média.",Nenhum,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_356.png,Chama da Amizade,"Incendeie seu corpo e alma com seus amigos! Quando você pegar fogo, espalhe as chamas para aliados próximos dentro de [1,2,3]m.",Nenhum,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_346.png,Couro macio - Golpe contundente fraco,"Não é muito resistente a ataques contundentes. O dano recebido de ataques contundentes aumenta em [15,20,25]%.",Nenhum,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_354.png,Para piorar ainda mais a situação.,"A anemia pode ser fatal. Quando o HP cai abaixo de 30%, perde mais [10, 15, 20]% de HP em 10 segundos. (CD: 50s)",Nenhum,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_317.png,Ritmo lento,"Ritmo lento, velocidade de movimento -[5,10,15]%.",Nenhum,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_323.png,Passos pesados,"Dá passos pesados, aumentando o volume do ruído de passos em [40,70,100]%.",Nenhum,Normal
